t (s),Distance de fil (m)
1132.16880003195,16.9395760676498
1132.26097593944,16.939577373643
1132.32181203838,16.9395782261677
1132.34831224308,16.9395786117592
1132.35399504571,16.9395786961743
1132.39931098918,16.9395793758577
1132.47800301891,16.9395805445191
1132.48618497753,16.9395806649891
1132.5031299133,16.9395809070604
1132.54776650643,16.9395815219612
1132.64412879837,16.9395828225601
1132.68610421274,16.9395833948837
1132.71025189855,16.9395837387734
1132.72314713275,16.9395839281655
1132.76461343839,16.9395845465383
1132.83699225013,16.939585610417
1132.85072593857,16.9395858084342
1132.88411589631,16.9395862671969
1132.95373997876,16.939587189395
1133.0233640612,16.9395880935491
1133.05369231151,16.9395884978304
1133.08753387821,16.9395889778787
1133.13109309568,16.9395896215579
1133.20207347395,16.9395906536169
1133.21554181333,16.9395908450485
1133.24954364256,16.9395913132647
1133.31986046196,16.939592232893
1133.39017728135,16.9395931215453
1133.46049410075,16.9395940425891
1133.50690320155,16.9395946821244
1133.55589043284,16.9395953741873
1133.61126719112,16.9395961504341
1133.67292649305,16.9395969575794
1133.73458579497,16.939597724674
1133.81326947038,16.939598728513
1133.84754407938,16.9395991859229
1133.88047095587,16.9395996402915
1133.94271942649,16.9396005001234
1133.95458574928,16.9396006627729
1133.96935122919,16.9396008572246
1134.01372206012,16.9396014118215
1134.09340136172,16.9396023756495
1134.11630884221,16.9396026533655
1134.15835681351,16.9396032070259
1134.23028673196,16.9396042055214
1134.23554830104,16.9396042813207
1134.24080987011,16.9396043575944
1134.24607143918,16.939604434181
1134.25272679979,16.9396045312575
1134.2639406556,16.939604694864
1134.28466568504,16.9396049925645
1134.30539071448,16.9396052818951
1134.32611574391,16.9396055557509
1134.34684077335,16.9396058144461
1134.37298487703,16.9396061289393
1134.41402954273,16.9396066151493
1134.44797033784,16.9396070297122
1134.48191113295,16.9396074713185
1134.50431205772,16.9396077745489
1134.53771471733,16.9396082327483
1134.55764564943,16.9396085069504
1134.59977558512,16.9396090761859
1134.63255048251,16.9396095040092
1134.68360229413,16.9396101467689
1134.72486579141,16.9396106538046
1134.75845644283,16.9396110641603
1134.80463224049,16.9396116292929
1134.82521711432,16.9396118817102
1134.84203798186,16.9396120836947
1134.87259898946,16.9396124377353
1134.90260771983,16.9396127842923
1134.95409130481,16.9396134092044
1134.96728987104,16.9396135756437
1134.96999349241,16.9396136101381
1134.97041751132,16.9396136155578
1134.97465770041,16.9396136657034
1135,16.9396138956434
1135.02534229959,16.9396142037069
1135.0606709241,16.9396146467187
1135.10161787388,16.9396151552705
1135.11606040953,16.9396153339231
1135.11912982806,16.9396153718667
1135.14982401334,16.9396157473502
1135.1533813584,16.939615778101
1135.16575264058,16.9396158945992
1135.18455159266,16.9396161012918
1135.23774473297,16.939616728899
1135.26110914903,16.9396170116889
1135.26571982978,16.939617067373
1135.26644293985,16.939617076117
1135.27367404051,16.9396171592109
1135.28936310983,16.9396173177417
1135.31890895022,16.9396176261146
1135.33785475385,16.9396178290055
1135.36661535792,16.9396181498084
1135.41571768228,16.9396187484374
1135.43081110922,16.9396189450815
1135.43142775133,16.9396189532472
1135.43759417236,16.9396190312417
1135.47388978538,16.9396194553271
1135.49387802168,16.9396196918724
1135.494719155,16.9396197023498
1135.50206320381,16.939619805069
1135.50538297542,16.9396198401784
1135.51598117215,16.9396199480341
1135.53180494892,16.9396201226564
1135.5651662893,16.939620511593
1135.56831516101,16.9396205488937
1135.57438644813,16.9396206206549
1135.57524736048,16.9396206299423
1135.57916097014,16.939620668962
1135.58602190942,16.9396207417486
1135.60196405702,16.9396209211608
1135.6386098623,16.9396213255034
1135.65752727165,16.9396215271431
1135.69833369951,16.9396219797416
1135.71489652183,16.9396221742314
1135.71653765439,16.9396221940971
1135.71692763147,16.939622198839
1135.72082740226,16.9396222429274
1135.74407449056,16.9396224603779
1135.7761092331,16.9396228008974
1135.80481080678,16.9396231443259
1135.83541486878,16.9396235209254
1135.86467140314,16.9396238788296
1135.90140639355,16.9396243224413
1135.90294391399,16.9396243408742
1135.91814563954,16.9396245154504
1135.91930427481,16.9396245266613
1135.92434406668,16.9396245745299
1135.93292782432,16.9396246652166
1135.94749076923,16.939624833153
1135.95285110037,16.9396248972418
1135.95539473419,16.939624927819
1135.95599916975,16.9396249351045
1135.95998844448,16.9396249807004
1135.96754939489,16.9396250594879
1135.97621188893,16.939625153024
1136.00968594235,16.9396255328185
1136.01228815046,16.9396255637078
1136.0131772129,16.9396255742722
1136.02206783726,16.939625673864
